epoch	dice_coef	loss	val_dice_coef	val_loss
10	0.3373385483310336	0.317527935618446	0.3805787137576512	0.6878226143973214
0	0.2755959371016139	0.5623058449654352	0.29401029646396637	0.6921085715293884
1	0.21092769512463183	0.4309650985967545	0.38216221758297514	0.6916745049612862
2	0.28732476915631977	0.370705342008954	0.24280052525656565	0.6894121595791408
3	0.29133545075144085	0.33861482782023294	0.29347919672727585	0.6893231570720673
4	0.3837852080663045	0.36315193630400155	0.38151825751577106	0.6900859475135803
0	0.23004681439626784	0.5449624515715099	0.29399383068084717	0.692010760307312
1	0.33906581572123934	0.4263227369104113	0.3821626092706408	0.6916759780475071
2	0.2961996289945784	0.35347277635619756	0.24279912880488805	0.6894010901451111
3	0.3047262529532115	0.34311770896116894	0.2934754639863968	0.6892914175987244
4	0.3196529285474257	0.32056743042035535	0.3814867777483804	0.6900092874254499
5	0.33271684249242145	0.30642031346048626	0.24253009472574508	0.6867542692593166
6	0.3184933250769973	0.3394312381744385	0.2931111305952072	0.6874184608459473
7	0.3172751942818815	0.32294782589782367	0.38100218772888184	0.6888310653822762
8	0.3860889839984122	0.28807270526885986	0.2423356899193355	0.684865687574659
9	0.35082011421521503	0.3204162149202256	0.29280784726142883	0.6858632564544678
10	0.35151027355875286	0.2790781862678982	0.38055264949798584	0.6877494539533343
11	0.3102956180061613	0.282340869307518	0.24211564234324864	0.6827364989689418
12	0.2855115563354709	0.2970733398740942	0.2924695983529091	0.6841442286968231
13	0.3630860403180122	0.288682546466589	0.3800708310944693	0.6866163781711033
14	0.36510341840663124	0.32531092706180753	0.24192852207592555	0.6809445449284145
0	0.38346825451368377	0.26057436991305577	0.2921930402517319	0.6827601492404938
1	0.3733851412932078	0.2704534970578693	0.3796928482396262	0.6857302784919739
2	0.3926621576150258	0.25512516498565674	0.24174857991082327	0.679251526083265
3	0.39373619570618584	0.30170523481709616	0.2919183149933815	0.6813925504684448
4	0.35492241382598877	0.253604147921909	0.37929479139191763	0.6848097443580627
5	0.3508916571736336	0.2690639942884445	0.24157411285809108	0.6776043432099479
6	0.40703385255553504	0.2670310911807147	0.29167640209198	0.6801992058753967
7	0.2785768309608102	0.25965319350361826	0.3789577271257128	0.6840282763753619
8	0.39029703357002954	0.24146914753046902	0.24143307975360326	0.6762729116848537
9	0.42897482713063556	0.26632259005591985	0.291466623544693	0.6791691780090332
10	0.4291866776489076	0.2578654005413964	0.378635436296463	0.6833095295088631
0	0.2786194235086441	0.5485533873240153	0.29399578273296356	0.6920227110385895
1	0.26674809713255276	0.43451751091263513	0.3821488916873932	0.6916317939758301
2	0.33057488352060316	0.36526714265346527	0.24279695749282837	0.6893721904073443
3	0.2970371182475771	0.3414294123649597	0.29348956793546677	0.6893642544746399
4	0.3169129874468559	0.3273385990233648	0.3815072306564876	0.6900552681514195
5	0.33969888942582266	0.3279575421696618	0.24255428995404923	0.6869957361902509
6	0.3568331315605478	0.30132089148868213	0.2931377962231636	0.6875563263893127
7	0.3007367241196334	0.27511371970176696	0.38100465280669077	0.6888486061777387
